operation,mean_confidence,std_confidence
add_1,0.6187021136283875,0.00024132571707013994
add_3,0.6187397241592407,7.411754631903023e-05
add_5,0.6187533140182495,4.34690919064451e-05
sub_2,0.6187333464622498,0.00010014477447839454
sub_4,0.6187387108802795,5.422487811301835e-05
mul_2,0.46887096762657166,0.028229912742972374
mul_3,0.5537846088409424,0.027879483997821808
div_2,0.6193093657493591,4.980419817002257e-06
div_3,0.6193304061889648,1.7367055988870561e-06
sqrt,0.6192550659179688,0.00014747679233551025
affine_1.1x+1,0.6181266903877258,0.0004042682412546128
affine_0.9x+2,0.6190220713615417,8.718977187527344e-05
