operation,steps_01_15,steps_16_30,steps_31_60
add_1,0.08556747436523438,1.490875482559204,20.442773818969727
add_3,0.07505429536104202,5.644082546234131,66.33531951904297
add_5,0.12688496708869934,10.179133415222168,111.58253479003906
sub_2,0.2310757040977478,10.127185821533203,53.46053695678711
sub_4,0.14321644604206085,20.609783172607422,107.11140441894531
mul_2,16792.73828125,9599.3837890625,9600.0
mul_3,30758.560546875,11650.25,11650.25
div_2,0.0011670966632664204,0.00022595324844587594,0.0002257227897644043
div_3,0.002192653715610504,0.00207953667268157,0.0020795464515686035
sqrt,0.0017182986484840512,0.0021155993454158306,0.0021157264709472656
affine_1.1x+1,0.2006572037935257,94.01835632324219,2189.340087890625
affine_0.9x+2,0.016609128564596176,0.31062379479408264,1.020851492881775
