operation,x0_0.5,x0_20.0,x0_100.0,x0_500.0
add_1,0.06303974986076355,10.970947265625,91.63516235351562,488.05303955078125
add_3,0.23453877866268158,4.282225608825684,87.8567123413086,484.8099670410156
add_5,0.1995774656534195,4.601892948150635,79.2302017211914,481.4516296386719
sub_2,0.21471519768238068,7.046891212463379,82.41173553466797,476.5533447265625
sub_4,0.38370731472969055,4.019891262054443,73.73967742919922,464.51922607421875
mul_2,53330.57421875,43416.15234375,70249.3046875,44864.765625
mul_3,56935.96484375,34452.99609375,86147.796875,165438.796875
div_2,0.3354150354862213,0.011525102891027927,0.08677172660827637,1.3875411748886108
div_3,0.10778389126062393,0.011285236105322838,0.016357433050870895,0.050129372626543045
sqrt,2.0327579975128174,0.003121892688795924,0.005637431051582098,0.00569513626396656
affine_1.1x+1,0.8608800768852234,18.66635513305664,298.4891357421875,1662.6453857421875
affine_0.9x+2,0.021001243963837624,0.4365423917770386,29.862071990966797,153.24588012695312
