operation,steps_01_15,steps_16_30,steps_31_60
add_1,0.017810950055718422,,
add_3,0.0012347559677436948,,
add_5,0.001850958215072751,,
sub_2,0.013814136385917664,,
sub_4,0.006847793236374855,,
mul_2,0.04259147495031357,,
mul_3,0.022705627605319023,,
div_2,0.0007558286306448281,,
div_3,0.0012027958873659372,,
sqrt,0.0015952159883454442,,
affine_1.1x+1,0.004378855228424072,,
affine_0.9x+2,0.0027273811865597963,,
