operation,x0_20,x0_100,x0_500
add_1,3.5356175899505615,15.14881420135498,78.29718780517578
add_3,0.19349366426467896,5.4149932861328125,28.57308006286621
add_5,0.192861869931221,3.590276002883911,17.39583969116211
sub_2,0.5039565563201904,7.254745960235596,41.26003646850586
sub_4,0.07426692545413971,3.240530490875244,20.769018173217773
mul_2,0.44711825251579285,0.9382224678993225,1.4364205598831177
mul_3,0.1865597814321518,0.38423264026641846,0.6149111390113831
div_2,0.30162933468818665,0.706296980381012,1.3025736808776855
div_3,0.09176306426525116,0.6484786868095398,0.8455634713172913
sqrt,0.04648834094405174,0.09637904167175293,0.32422736287117004
affine_1.1x+1,1.9762325286865234,12.955867767333984,68.26399993896484
affine_0.9x+2,1.756954312324524,7.819002151489258,39.691650390625
