model,n_params,mean_mae_indist,final_test_mse
Ours (Hierarchical),16655,0.02305363347598662,0.002278611995279789
MLP baseline,26767,0.022071553888963535,0.011658347211778164
LSTM (direct),18127,0.03214043735836943,0.01213166955858469
LSTM (autoregressive),34369,0.03351077033827702,0.012382674030959606
Transformer baseline,17647,0.023198024127244327,0.011640212498605251
