operation,steps_01_15,steps_16_30,steps_31_60
add_1,0.093873031437397,0.3695509731769562,3.1852426528930664
add_3,0.0056596724316477776,0.3117119371891022,3.774341106414795
add_5,0.009498906321823597,0.3280376195907593,3.8653347492218018
sub_2,0.01379937119781971,0.9542652368545532,4.693033218383789
sub_4,0.008299837820231915,1.0036342144012451,4.812864303588867
mul_2,0.041296038776636124,0.03460125997662544,0.034600257873535156
mul_3,0.09172658622264862,0.051776282489299774,0.051783204078674316
div_2,0.0006173014407977462,0.00042334001045674086,0.0004235506057739258
div_3,0.0014910062309354544,0.0013531327713280916,0.001353144645690918
sqrt,0.0008928706520237029,0.0011754333972930908,0.001175522804260254
affine_1.1x+1,0.009727614931762218,3.727055788040161,88.11214447021484
affine_0.9x+2,0.0042440700344741344,0.13485540449619293,0.36112847924232483
