operation,x0_20,x0_100,x0_500
add_1,2.592590570449829,13.273991584777832,76.43608093261719
add_3,0.2521345019340515,4.242926597595215,26.72428321838379
add_5,0.16761556267738342,2.877126455307007,15.529546737670898
sub_2,0.08600982278585434,5.533454418182373,39.395790100097656
sub_4,0.022539246827363968,1.95122492313385,18.929218292236328
mul_2,0.4520896375179291,0.9434114098548889,1.4437974691390991
mul_3,0.18530169129371643,0.36742064356803894,0.5728948712348938
div_2,0.5869594216346741,1.8255149126052856,2.4600253105163574
div_3,0.01445705909281969,0.597361147403717,1.9552695751190186
sqrt,0.01691238395869732,0.024103162810206413,0.09991241991519928
affine_1.1x+1,2.647617816925049,11.742716789245605,66.37168884277344
affine_0.9x+2,1.3615758419036865,5.9901556968688965,37.87156295776367
