operation,mae_normalised
add_1,0.0069063566625118256
add_3,0.0030702806543558836
add_5,0.0029063934925943613
sub_2,0.007428282871842384
sub_4,0.00714421272277832
mul_2,0.1588757038116455
mul_3,0.06540335714817047
div_2,0.0015449406346306205
div_3,0.0021349035669118166
sqrt,0.0033816457726061344
affine_1.1x+1,0.0036490149796009064
affine_0.9x+2,0.002413554349914193
