operation,x0_20,x0_100,x0_500
add_1,2.4312398433685303,13.003503799438477,75.68181610107422
add_3,0.25004279613494873,3.653787851333618,26.305124282836914
add_5,0.17497435212135315,2.2616796493530273,15.219755172729492
sub_2,0.17611581087112427,5.429969310760498,38.909767150878906
sub_4,0.05532078444957733,1.6570063829421997,18.58814239501953
mul_2,0.282480925321579,0.47427108883857727,0.24372346699237823
mul_3,0.12933005392551422,0.18960151076316833,0.4551296532154083
div_2,0.029394853860139847,0.08894730359315872,0.9707066416740417
div_3,0.004710719920694828,0.07020406424999237,0.1252942532300949
sqrt,0.008183436468243599,0.029005419462919235,0.052753765136003494
affine_1.1x+1,0.9808708429336548,11.11146068572998,65.89542388916016
affine_0.9x+2,0.5826721787452698,5.991331100463867,37.324790954589844
