operation,x0_20,x0_100,x0_500
add_1,2.345702886581421,14.974954605102539,78.03052520751953
add_3,0.20960164070129395,5.498379230499268,28.34073257446289
add_5,0.1838054656982422,3.3797848224639893,17.203895568847656
sub_2,0.5214165449142456,7.213779926300049,41.016300201416016
sub_4,0.08082841336727142,3.3030314445495605,20.545473098754883
mul_2,0.4471378028392792,0.9384063482284546,1.4368164539337158
mul_3,0.1856928914785385,0.3808267414569855,0.6258460879325867
div_2,0.04690410941839218,0.33094075322151184,1.4546304941177368
div_3,0.107899971306324,0.11025191843509674,0.1868870109319687
sqrt,0.043809760361909866,0.07488810271024704,0.05777166783809662
affine_1.1x+1,1.5036778450012207,13.056275367736816,68.00697326660156
affine_0.9x+2,1.3562610149383545,7.6405534744262695,39.44807052612305
