operation,enc_x0,ref_confidence,mae_full_x020,mae_injected_x020,mae_full_x050,mae_injected_x050,mae_full_x0200,mae_injected_x0200,mae_full_x01000,mae_injected_x01000
add_1,5.0,0.6136090159416199,11.535661697387695,1.8796300931135197,43.49590301513672,29.809213003969024,192.38157653808594,179.12490423006378,986.2733764648438,975.2854190391722
add_3,5.0,0.6136844158172607,4.741240501403809,0.12740076388801735,36.55447769165039,8.586910388269704,191.5625762939453,154.49737800923566,985.4593505859375,950.6977475146087
add_5,5.0,0.6136954426765442,5.805962085723877,0.18484867362672192,37.08150100708008,2.3445704292517453,190.12879943847656,129.0769139143798,984.7759399414062,925.3241763212906
sub_2,5.0,0.6137143969535828,7.490502834320068,8.576032864835202,35.30445098876953,37.57579957972961,182.39166259765625,185.6304311160258,975.5903930664062,980.831959254631
sub_4,5.0,0.6137071847915649,4.080601692199707,5.098537666270052,29.302610397338867,32.30162817851884,173.36135864257812,179.26468996529664,965.2932739257812,973.3113235967093
mul_2,5.0,0.46030735969543457,50740.953125,128518.52344464048,78421.6484375,202197.79323853774,48135.375,290289.8924064901,29957.59765625,268591.3429260726
mul_3,5.0,0.5544658899307251,23587.455078125,72755.15826591801,52125.27734375,116107.73005553482,130172.1484375,124421.6236066023,437535.59375,40285.42170803502
div_2,5.0,0.6142576336860657,0.03247762843966484,0.03851639732146449,0.09286309778690338,0.12471314179939157,0.2983188033103943,0.2876742383886995,3.2356412410736084,3.1797505015744303
div_3,5.0,0.6142800450325012,0.015696099027991295,0.013982042693838286,0.034195542335510254,0.03669591139377906,0.1493632197380066,0.18160625558929508,0.23845316469669342,0.29963756518668827
sqrt,5.0,0.6142498850822449,0.011882996186614037,0.006775095310833727,0.014790435321629047,0.009057836386314803,0.021488718688488007,0.013826097555658511,0.031238356605172157,0.0204502844191758
affine_1.1x+1,5.0,0.61302649974823,22.59087371826172,12.094135025675333,128.11618041992188,89.28695906044105,649.2826538085938,597.9632047074311,3371.760498046875,3321.8859162354984
affine_0.9x+2,5.0,0.6139450073242188,0.5606892704963684,0.33127670286090566,14.891825675964355,6.6029364150506975,61.09028244018555,52.85261286519454,308.3063659667969,300.14541495419166
