operation,steps_01_15,steps_16_30,steps_31_60
add_1,0.052524883300065994,1.8874189853668213,22.388744354248047
add_3,0.05910440906882286,8.602139472961426,72.57095336914062
add_5,0.09545135498046875,14.927630424499512,121.9131851196289
sub_2,0.15972305834293365,10.827030181884766,54.746681213378906
sub_4,0.17630437016487122,22.00596809387207,109.68863677978516
mul_2,15533.4521484375,3842.862548828125,3842.875
mul_3,23241.44140625,5593.62060546875,5593.625
div_2,0.007446505594998598,0.00488571310415864,0.004899799823760986
div_3,0.0036472768988460302,0.0016549767460674047,0.0016564428806304932
sqrt,0.004128833767026663,0.00454555731266737,0.00454866886138916
affine_1.1x+1,0.22558893263339996,97.6494140625,2193.577392578125
affine_0.9x+2,0.018481826409697533,0.11617228388786316,0.4794670641422272
