operation,x0_0.5,x0_20.0,x0_100.0,x0_500.0
add_1,0.23472213745117188,11.535661697387695,93.21638488769531,489.9264221191406
add_3,0.28335049748420715,4.741240501403809,91.78968048095703,489.4175109863281
add_5,0.14193521440029144,5.805962085723877,87.97423553466797,488.73345947265625
sub_2,0.2198365479707718,7.490502834320068,83.77716827392578,479.6051025390625
sub_4,0.31394094228744507,4.080601692199707,76.30906677246094,469.79443359375
mul_2,45574.890625,50740.953125,70632.1015625,23894.76171875
mul_3,50304.0234375,23587.455078125,89426.3046875,175216.453125
div_2,0.2801729440689087,0.03247762843966484,0.08113420754671097,1.3433539867401123
div_3,0.11433412879705429,0.015696099027991295,0.07092312723398209,0.2510882019996643
sqrt,2.1516382694244385,0.011882996186614037,0.017659885808825493,0.026812808588147163
affine_1.1x+1,0.6073271036148071,22.59087371826172,307.2624816894531,1670.48486328125
affine_0.9x+2,0.05869496613740921,0.5606892704963684,30.22100830078125,153.7857208251953
